"From Name","To Name","From Type","Edge Type","To Type"
1,16,"person","teaching","person"
4,17,"person","teaching","person"
5,48,"person","teaching","person"
5,52,"person","teaching","person"
6,13,"person","teaching","person"
6,14,"person","teaching","person"
6,16,"person","teaching","person"
6,41,"person","teaching","person"
15,37,"person","teaching","person"
19,3,"person","teaching","person"
19,13,"person","teaching","person"
19,14,"person","teaching","person"
19,16,"person","teaching","person"
19,17,"person","teaching","person"
19,18,"person","teaching","person"
19,41,"person","teaching","person"
19,44,"person","teaching","person"
22,12,"person","teaching","person"
22,20,"person","teaching","person"
22,32,"person","teaching","person"
22,45,"person","teaching","person"
22,48,"person","teaching","person"
24,8,"person","teaching","person"
24,15,"person","teaching","person"
24,21,"person","teaching","person"
24,25,"person","teaching","person"
24,30,"person","teaching","person"
24,35,"person","teaching","person"
24,36,"person","teaching","person"
24,40,"person","teaching","person"
24,42,"person","teaching","person"
24,46,"person","teaching","person"
24,53,"person","teaching","person"
24,54,"person","teaching","person"
24,56,"person","teaching","person"
24,58,"person","teaching","person"
25,21,"person","teaching","person"
28,36,"person","teaching","person"
29,2,"person","teaching","person"
29,17,"person","teaching","person"
30,13,"person","teaching","person"
30,41,"person","teaching","person"
31,37,"person","teaching","person"
31,49,"person","teaching","person"
31,60,"person","teaching","person"
33,1,"person","teaching","person"
33,15,"person","teaching","person"
33,27,"person","teaching","person"
35,2,"person","teaching","person"
35,11,"person","teaching","person"
35,23,"person","teaching","person"
35,26,"person","teaching","person"
35,34,"person","teaching","person"
35,39,"person","teaching","person"
35,55,"person","teaching","person"
36,2,"person","teaching","person"
36,39,"person","teaching","person"
36,55,"person","teaching","person"
37,11,"person","teaching","person"
38,13,"person","teaching","person"
38,44,"person","teaching","person"
42,39,"person","teaching","person"
43,16,"person","teaching","person"
47,32,"person","teaching","person"
49,60,"person","teaching","person"
50,37,"person","teaching","person"
50,44,"person","teaching","person"
50,49,"person","teaching","person"
50,55,"person","teaching","person"
50,60,"person","teaching","person"
53,13,"person","teaching","person"
53,41,"person","teaching","person"
54,10,"person","teaching","person"
56,32,"person","teaching","person"
58,9,"person","teaching","person"
58,13,"person","teaching","person"
58,16,"person","teaching","person"
58,17,"person","teaching","person"
58,41,"person","teaching","person"
58,51,"person","teaching","person"
59,7,"person","teaching","person"
59,8,"person","teaching","person"
59,13,"person","teaching","person"
59,19,"person","teaching","person"
59,21,"person","teaching","person"
59,25,"person","teaching","person"
59,29,"person","teaching","person"
59,30,"person","teaching","person"
59,36,"person","teaching","person"
59,42,"person","teaching","person"
59,54,"person","teaching","person"
59,56,"person","teaching","person"
59,57,"person","teaching","person"
59,58,"person","teaching","person"
