"From Name","To Name","Weight","From Type","To Type","Edge Type"
"BOB","COLE",1,"character","character","plot connection"
"BOB","MAN FROM ANOTHER PLACE",1,"character","character","plot connection"
"BOB","COOPER",1,"character","character","plot connection"
"BOB","SARAH",1,"character","character","plot connection"
"BOB","DONNA",1,"character","character","plot connection"
"BOB","LAURA",2,"character","character","plot connection"
"BOB","SECOND WOODSMAN",1,"character","character","plot connection"
"BOB","JACQUES",1,"character","character","plot connection"
"BOB","RONETTE",1,"character","character","plot connection"
"BOB","ALBERT",1,"character","character","plot connection"
"BOB","MIKE",1,"character","character","plot connection"
"BOB","JEFFRIES",1,"character","character","plot connection"
"BOB","FIRST WOODSMAN",1,"character","character","plot connection"
"TRUCKER","LAURA",2,"character","character","plot connection"
"TRUCKER","DONNA",1,"character","character","plot connection"
"GERARD","LELAND",1,"character","character","plot connection"
"GERARD","LAURA",1,"character","character","plot connection"
"GERARD","MECHANIC",1,"character","character","plot connection"
"NORMA","LAURA",1,"character","character","plot connection"
"NORMA","TOAD",1,"character","character","plot connection"
"NORMA","ED",1,"character","character","plot connection"
"NORMA","NADINE",1,"character","character","plot connection"
"NORMA","SHELLY",1,"character","character","plot connection"
"DOC","LELAND",1,"character","character","plot connection"
"DOC","LAURA",1,"character","character","plot connection"
"DOC","EILEEN",1,"character","character","plot connection"
"DOC","DONNA",1,"character","character","plot connection"
"OLD GUY","STANLEY",1,"character","character","plot connection"
"OLD GUY","DESMOND",1,"character","character","plot connection"
"OLD GUY","IRENE",1,"character","character","plot connection"
"COOPER","COLE",2,"character","character","plot connection"
"COOPER","GORDON",1,"character","character","plot connection"
"COOPER","ALBERT",2,"character","character","plot connection"
"COOPER","RIGHT",1,"character","character","plot connection"
"COOPER","ANNIE",1,"character","character","plot connection"
"COOPER","CARL",1,"character","character","plot connection"
"COOPER","SECOND WOODSMAN",1,"character","character","plot connection"
"COOPER","STANLEY",1,"character","character","plot connection"
"COOPER","MAN FROM ANOTHER PLACE",3,"character","character","plot connection"
"COOPER","MIKE",1,"character","character","plot connection"
"COOPER","JEFFRIES",1,"character","character","plot connection"
"COOPER","FIRST WOODSMAN",1,"character","character","plot connection"
"JACQUES","LAURA",2,"character","character","plot connection"
"JACQUES","LEO",1,"character","character","plot connection"
"JACQUES","DONNA",1,"character","character","plot connection"
"JACQUES","TERESA",1,"character","character","plot connection"
"JACQUES","BOBBY",1,"character","character","plot connection"
"JACQUES","RONETTE",1,"character","character","plot connection"
"TERESA","LELAND",1,"character","character","plot connection"
"TERESA","LAURA",1,"character","character","plot connection"
"TERESA","SARAH",1,"character","character","plot connection"
"EILEEN","LELAND",1,"character","character","plot connection"
"EILEEN","LAURA",2,"character","character","plot connection"
"EILEEN","DONNA",1,"character","character","plot connection"
"IRENE","STANLEY",1,"character","character","plot connection"
"IRENE","DESMOND",1,"character","character","plot connection"
"SPARKY","ED",1,"character","character","plot connection"
"WOMAN","LAURA",1,"character","character","plot connection"
"DESMOND","COLE",1,"character","character","plot connection"
"DESMOND","CLIFF",2,"character","character","plot connection"
"DESMOND","CABLE",3,"character","character","plot connection"
"DESMOND","CARL",3,"character","character","plot connection"
"DESMOND","STANLEY",8,"character","character","plot connection"
"DESMOND","JACK",1,"character","character","plot connection"
"HAROLD","LAURA",1,"character","character","plot connection"
"CLIFF","LAURA",1,"character","character","plot connection"
