"journal_name","type","person","unified_name","role","degree","position","affiliation","person_reserved","role_unified","gender","country","city","affiliation_unified","expertise","expertise_multiple"
"вестник пермского национального исследовательского политехнического университета. социально-экономические науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Ёлохова И. В.","ёлохова и. в."," ","д-р экон. наук","проф.","Перм. нац. исслед. политехн. ун-т","Ёлохова И. В.___ +++д-р экон. наук---проф.===Перм. нац. исслед. политехн. ун-т***Пермь, Россия","regular","f","Россия","Пермь","пермский национальный исследовательский политехнический университет","экономика",0
"общество: социология, психология, педагогика","Редакционная коллегия","Ященко Елена Федоровна","ященко елена федоровна"," ","доктор психологических наук, кандидат педагогических наук","доцент, заведующий кафедрой «Прикладная психология»","Петербургский государственный университет путей сообщения Императора Александра I","Ященко Елена Федоровна___ +++доктор психологических наук, кандидат педагогических наук---доцент, заведующий кафедрой «Прикладная психология»===Петербургский государственный университет путей сообщения Императора Александра I*** ","regular","f","Россия","Санкт-Петербург","петербургский государственный университет путей сообщения императора александра i","психология",1
"общество: социология, психология, педагогика","Редакционная коллегия","Ященко Елена Федоровна","ященко елена федоровна"," ","Доктор психологических наук, кандидат педагогических наук"," доцент, заведующий кафедрой «Прикладная психология»","Петербургский государственный университет путей сообщения Императора Александра I","Ященко Елена Федоровна___ +++Доктор психологических наук, кандидат педагогических наук--- доцент, заведующий кафедрой «Прикладная психология»===Петербургский государственный университет путей сообщения Императора Александра I*** ","regular","f","Россия","Санкт-Петербург","петербургский государственный университет путей сообщения императора александра i","психология",1
"известия высших учебных заведений. поволжский регион. общественные науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Яшин Андрей Владимирович","яшин андрей владимирович"," ","доктор юридических наук","доцент, профессор кафедры правоохранительной деятельности","Пензенский государственный университет","Яшин Андрей Владимирович___ +++доктор юридических наук---доцент, профессор кафедры правоохранительной деятельности===Пензенский государственный университет*** ","regular","m","Россия","Пенза","пензенский государственный университет","юриспруденция",0
"теория и практика общественного развития","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Яшин Андрей Владимирович","яшин андрей владимирович"," ","доктор юридических наук","доцент, профессор кафедры «Правоохранительная деятельность» Пензенского государственного университета","Пензенский государственный университет","Яшин Андрей Владимирович___ +++доктор юридических наук---доцент, профессор кафедры «Правоохранительная деятельность» Пензенского государственного университета===Пензенский государственный университет***","regular","m","Россия","Пенза","пензенский государственный университет","юриспруденция",0
"ойкумена. регионоведческие исследования","Редакционная коллегия","Ячин Сергей Евгеньевич","ячин сергей евгеньевич"," ","доктор философских наук","профессор департамента философии и религиоведения","Дальневосточный федеральный университет","Ячин Сергей Евгеньевич___ +++доктор философских наук---профессор департамента философии и религиоведения===Дальневосточный федеральный университет***Владивосток","regular","m","Россия","Владивосток","дальневосточный федеральный университет","философия",0
"дискурс","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Яценко Михаил Петрович","яценко михаил петрович"," ","д-р филос. наук","доцент, профессор каф. глобалистики и геополитики Сибирского федерального университета"," Сибирский федеральный университет","Яценко Михаил Петрович___ +++д-р филос. наук---доцент, профессор каф. глобалистики и геополитики Сибирского федерального университета=== Сибирский федеральный университет***Красноярск, Россия","regular","m","Россия","Красноярск","сибирский федеральный университет","философия",0
"siberian socium","Редакционная коллегия","Ях Анна","ях анна"," ","хабилитированный доктор наук"," ","Ягеллонский университет","Ях Анна___ +++хабилитированный доктор наук--- ===Ягеллонский университет***Краков, Республика Польша","regular","f","Польша","Краков","ягеллонский университет",NA,NA
"теория и практика общественного развития","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Ястребов Олег Александрович","ястребов олег александрович"," ","доктор юридических наук, доктор экономических наук","профессор, ректор, заведующий кафедрой административного и финансового права, президент Ассоциации юридического образования РФ","Российский университет дружбы народов","Ястребов Олег Александрович___ +++доктор юридических наук, доктор экономических наук---профессор, ректор, заведующий кафедрой административного и финансового права, президент Ассоциации юридического образования РФ===Российский университет дружбы народов*** ","regular","m","Россия","Москва","российский университет дружбы народов","юриспруденция",1
"теория и практика общественного развития","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Ястребов Олег Александрович","ястребов олег александрович"," ","доктор юридических наук","доктор экономических наук, профессор, ректор, заведующий кафедрой административного и финансового права Российского университета дружбы народов, президент Ассоциации юридического образования РФ"," Российский университет дружбы народов","Ястребов Олег Александрович___ +++доктор юридических наук---доктор экономических наук, профессор, ректор, заведующий кафедрой административного и финансового права Российского университета дружбы народов, президент Ассоциации юридического образования РФ=== Российский университет дружбы народов*** ","regular","m","Россия","Москва","российский университет дружбы народов","юриспруденция",1
"мир россии. социология. этнология","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Ястребов Г. А.","ястребов г. а.","заместитель главного редактора","кандидат социологических наук","научный сотрудник, Институт социологии и социальной психологии","Кёльнский университет","Ястребов Г. А.___заместитель главного редактора+++кандидат социологических наук---научный сотрудник, Институт социологии и социальной психологии===Кёльнский университет***Германия","middle","m","Германия","Кельн","кёльнский университет",NA,NA
"вестник томского государственного университета. философия. социология. политология","РЕДАКЦИОННЫЙ СОВЕТ","Ярская-Смирнова Е. Р.","ярская-смирнова елена ростиславовна"," "," "," ","Государственный университет – Высшая школа экономики","Ярская-Смирнова Е. Р.___ +++ --- ===Государственный университет – Высшая школа экономики***Москва, Россия","regular","f","Россия","Москва","высшая школа экономики (москва)","социология",0
"женщина в российском обществе","РЕДАКЦИОННЫЙ СОВЕТ","Ярская-Смирнова Елена Ростиславовна","ярская-смирнова елена ростиславовна"," ","Доктор социологических наук","профессор факультета социальных наук, Заведующая Международной лабораторией исследований социальной интеграции","Национальный исследовательский университет «Высшая школа экономики»","Ярская-Смирнова Елена Ростиславовна___ +++Доктор социологических наук---профессор факультета социальных наук, Заведующая Международной лабораторией исследований социальной интеграции===Национальный исследовательский университет «Высшая школа экономики»*** ","regular","f","Россия","Москва","высшая школа экономики (москва)","социология",0
"журнал исследований социальной политики","РЕДАКЦИЯ","Ярская-Смирнова Елена","ярская-смирнова елена ростиславовна"," Главный редактор"," "," ","НИУ ВШЭ","Ярская-Смирнова Елена___ Главный редактор+++ --- ===НИУ ВШЭ***Россия","chief","f","Россия","Москва","высшая школа экономики (москва)","социология",0
"журнал социологии и социальной антропологии","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Ярская-Смирнова Елена Ростиславовна","ярская-смирнова елена ростиславовна"," ","д.соц.н.","профессор","НИУ ВШЭ","Ярская-Смирнова Елена Ростиславовна___ +++д.соц.н.---профессор===НИУ ВШЭ***Москва, Россия","regular","f","Россия","Москва","высшая школа экономики (москва)","социология",0
"интеракция. интервью. интерпретация","Редакционная коллегия","ЯРСКАЯ-СМИРНОВА Елена Ростиславовна","ярская-смирнова елена ростиславовна"," ","доктор социологических наук","ординарный профессор","Национальный исследовательский университет «Высшая школа экономики»","ЯРСКАЯ-СМИРНОВА Елена Ростиславовна___ +++доктор социологических наук---ординарный профессор===Национальный исследовательский университет «Высшая школа экономики»***Москва, Россия","regular","f","Россия","Москва","высшая школа экономики (москва)","социология",0
"вестник санкт-петербургского университета. социология","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Ярская-Смирнова Валентина Николаевна","ярская-смирнова валентина николаевна"," ","доктор философских наук","профессор, директор Научно-образовательного регионального центра мониторинговых исследований","Саратовский государственный технический университет (СГТУ) имени Гагарина Ю.А.","Ярская-Смирнова Валентина Николаевна___ +++доктор философских наук---профессор, директор Научно-образовательного регионального центра мониторинговых исследований===Саратовский государственный технический университет (СГТУ) имени Гагарина Ю.А.***Саратов","regular","f","Россия","Саратов","саратовский государственный технический университет","философия",0
"журнал исследований социальной политики","%РЕДАКЦИОННЫЙ СОВЕТ","Ярская Валентина","ярская-смирнова валентина николаевна"," ","д-р филос. наук"," ","Саратовский государственный технический университет","Ярская Валентина___ +++д-р филос. наук--- ===Саратовский государственный технический университет***Россия","regular","f","Россия","Саратов","саратовский государственный технический университет","философия",0
"вестник тюменского государственного университета. социально-экономические и правовые исследования","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Ярвелайд Пеэтер","ярвелайд пеэтер"," ","Доктор юридических наук","профессор","Таллиннский университет","Ярвелайд Пеэтер___ +++Доктор юридических наук---профессор===Таллиннский университет***Эстония","regular","m","Эстония","Таллин","таллиннский университет",NA,NA
"уровень жизни населения регионов россии","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Ярашева Азиза Викторовна","ярашева азиза викторовна"," ","доктор экономических наук","профессор РАН, главный научный сотрудник, заведующая лабораторией исследования поведенческой экономики Института социально-экономических проблем народонаселения ФНИСЦ РАН, ведущий аналитик Научно-исследовательского института организации здравоохранения и медицинского менеджмента ДЗМ","Институт социально-экономических проблем народонаселения ФНИСЦ РАН","Ярашева Азиза Викторовна___ +++доктор экономических наук---профессор РАН, главный научный сотрудник, заведующая лабораторией исследования поведенческой экономики Института социально-экономических проблем народонаселения ФНИСЦ РАН, ведущий аналитик Научно-исследовательского института организации здравоохранения и медицинского менеджмента ДЗМ===Институт социально-экономических проблем народонаселения ФНИСЦ РАН***Россия","regular","f","Россия","Москва","ИСЭПН ФНИСЦ РАН","экономика",0
"известия высших учебных заведений. социология. экономика. политика","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Янчаркова Юлие","янчаркова юлие"," ","РhD","научный сотрудник Славянского института Академии наук Чехии"," ","Янчаркова Юлие___ +++РhD---научный сотрудник Славянского института Академии наук Чехии=== ***Чехия","regular","f","Чехия",NA,"славянский институт НАН чехии",NA,NA
