"id_respondent","cultural_choice","cultural.choice_order","occupation_card","team"
"group1-07-04-25_11:44","пьют баночное пиво из супермаркета",1,"водитель бензовоза","group1"
"group1-07-04-25_11:44","пьют баночное пиво из супермаркета",2,"бухгалтер","group1"
"group1-07-04-25_11:44","пьют баночное пиво из супермаркета",3,"товаровед","group1"
"group1-07-04-25_11:44","живут в мурино",1,"грузчик","group1"
"group1-07-04-25_11:44","живут в мурино",2,"отделочник-универсал","group1"
"group1-07-04-25_11:44","живут в мурино",3,"секретарь","group1"
"group1-07-04-25_11:44","любят салат оливье",1,"архитектор","group1"
"group1-07-04-25_11:44","любят салат оливье",2,"научный сотрудник","group1"
"group1-07-04-25_11:44","любят салат оливье",3,"руководитель отдела маркетинга и рекламы","group1"
"group1-07-04-25_11:44","смотрят фестивальное кино",1,"школьный учитель","group1"
"group1-07-04-25_11:44","смотрят фестивальное кино",2,"научный сотрудник","group1"
"group1-07-04-25_11:44","смотрят фестивальное кино",3,"артист оркестра","group1"
"group1-07-04-25_11:44","покупают в среднем две книги в месяц",1,"школьный учитель","group1"
"group1-07-04-25_11:44","покупают в среднем две книги в месяц",2,"психотерапевт","group1"
"group1-07-04-25_11:44","покупают в среднем две книги в месяц",3,"продавец-консультант","group1"
"group1-07-04-25_11:44","отдыхают в турции",1,"врач отоларинголог","group1"
"group1-07-04-25_11:44","отдыхают в турции",2,"бухгалтер","group1"
"group1-07-04-25_11:44","отдыхают в турции",3,"электромонтер","group1"
"group1-07-04-25_11:44","любят песни шамана",1,"повар","group1"
"group1-07-04-25_11:44","любят песни шамана",2,"токарь","group1"
"group1-07-04-25_11:44","любят песни шамана",3,"финансовый консультант","group1"
"group1-07-04-25_11:44","пьют фильтр-кофе или напитки на основе эспрессо",1,"отделочник-универсал","group1"
"group1-07-04-25_11:44","пьют фильтр-кофе или напитки на основе эспрессо",2,"администратор гостиницы","group1"
"group1-07-04-25_11:44","пьют фильтр-кофе или напитки на основе эспрессо",3,"секретарь","group1"
"group1-07-04-25_11:44","имеют подписку на онлайн-кинотеатры или стриминговые сервисы",1,"научный сотрудник","group1"
"group1-07-04-25_11:44","имеют подписку на онлайн-кинотеатры или стриминговые сервисы",2,"лейтенант вмф","group1"
"group1-07-04-25_11:44","имеют подписку на онлайн-кинотеатры или стриминговые сервисы",3,"руководитель отдела маркетинга и рекламы","group1"
"group1-07-04-25_11:44","вегетарианцы",1,"медсестра","group1"
"group1-07-04-25_11:44","вегетарианцы",2,"бухгалтер","group1"
"group1-07-04-25_11:44","вегетарианцы",3,"архитектор","group1"
"group1-07-04-25_11:44","занимаются йогой",1,"медсестра","group1"
"group1-07-04-25_11:44","занимаются йогой",2,"менеджер по продажам","group1"
"group1-07-04-25_11:44","занимаются йогой",3,"агент по недвижимости","group1"
"group1-07-04-25_11:44","знают французский",1,"воспитатель","group1"
"group1-07-04-25_11:44","знают французский",2,"школьный учитель","group1"
"group1-07-04-25_11:44","знают французский",3,"юрист","group1"
"group1-07-04-25_11:44","не ходят к зубному врачу пока не болят зубы",1,"разработчик программного обеспечения","group1"
"group1-07-04-25_11:44","не ходят к зубному врачу пока не болят зубы",2,"электромонтер","group1"
"group1-07-04-25_11:44","не ходят к зубному врачу пока не болят зубы",3,"уборщик помещений","group1"
"group1-07-04-25_11:44","носят adidas",1,"официант","group1"
"group1-07-04-25_11:44","носят adidas",2,"кассир","group1"
"group1-07-04-25_11:44","носят adidas",3,"бариста","group1"
"group1-07-04-25_11:44","младше 30 лет",1,"врач отоларинголог","group1"
"group1-07-04-25_11:44","младше 30 лет",2,"воспитатель","group1"
"group1-07-04-25_11:44","младше 30 лет",3,"менеджер по продажам","group1"
"group1-07-04-25_11:44","старше 60 лет",1,"повар","group1"
"group1-07-04-25_11:44","старше 60 лет",2,"университетский профессор","group1"
"group1-07-04-25_11:44","старше 60 лет",3,"начальник отдела кадров","group1"
"group1-07-04-25_11:44","бывали на каникулах в италии",1,"артист оркестра","group1"
"group1-07-04-25_11:44","бывали на каникулах в италии",2,"университетский профессор","group1"
"group1-07-04-25_11:44","бывали на каникулах в италии",3,"менеджер по продажам","group1"
"group1-07-04-25_11:44","смотрят телеканал нтв",1,"прораб","group1"
"group1-07-04-25_11:44","смотрят телеканал нтв",2,"врач отоларинголог","group1"
"group1-07-04-25_11:44","смотрят телеканал нтв",3,"инженер-конструктор","group1"
"group1-07-04-25_11:44","были в мариинском театре в прошлом месяце",1,"артист оркестра","group1"
"group1-07-04-25_11:44","были в мариинском театре в прошлом месяце",2,"врач отоларинголог","group1"
"group1-07-04-25_11:44","были в мариинском театре в прошлом месяце",3,"веб-дизайнер","group1"
"group1-07-04-25_11:44","зарабатывают больше 200 тысяч рублей в месяц",1,"университетский профессор","group1"
"group1-07-04-25_11:44","зарабатывают больше 200 тысяч рублей в месяц",2,"менеджер по продажам","group1"
"group1-07-04-25_11:44","зарабатывают больше 200 тысяч рублей в месяц",3,"архитектор","group1"
"group1-07-04-25_11:44","придерживаются оппозиционных политических взглядов",1,"прораб","group1"
"group1-07-04-25_11:44","придерживаются оппозиционных политических взглядов",2,"инженер-конструктор","group1"
"group1-07-04-25_11:44","придерживаются оппозиционных политических взглядов",3,"лейтенант вмф","group1"
"group1-07-04-25_11:44","живут на петроградке",1,"архитектор","group1"
"group1-07-04-25_11:44","живут на петроградке",2,"артист оркестра","group1"
"group1-07-04-25_11:44","живут на петроградке",3,"университетский профессор","group1"
"group1-07-04-25_11:44","имеют троих детей",1,"повар","group1"
"group1-07-04-25_11:44","имеют троих детей",2,"врач отоларинголог","group1"
"group1-07-04-25_11:44","имеют троих детей",3,"начальник отдела кадров","group1"
"group1-07-04-25_11:44","ежедневно проводят в соцсетях свыше двух часов",1,"агент по недвижимости","group1"
"group1-07-04-25_11:44","ежедневно проводят в соцсетях свыше двух часов",2,"разработчик программного обеспечения","group1"
"group1-07-04-25_11:44","ежедневно проводят в соцсетях свыше двух часов",3,"руководитель отдела маркетинга и рекламы","group1"
"group1-07-04-25_11:44","регулярно посещают церковь",1,"медсестра","group1"
"group1-07-04-25_11:44","регулярно посещают церковь",2,"научный сотрудник","group1"
"group1-07-04-25_11:44","регулярно посещают церковь",3,"уборщик помещений","group1"
"group1-07-04-25_11:44","покупают продукты в вкусвилле",1,"водитель бензовоза","group1"
"group1-07-04-25_11:44","покупают продукты в вкусвилле",2,"кассир","group1"
"group1-07-04-25_11:44","покупают продукты в вкусвилле",3,"психотерапевт","group1"
"group1-07-04-25_11:44","любят стендап",1,"лейтенант вмф","group1"
"group1-07-04-25_11:44","любят стендап",2,"артист оркестра","group1"
"group1-07-04-25_11:44","любят стендап",3,"разработчик программного обеспечения","group1"
"group1-07-04-25_11:44","были на спортивном матче в последние полгода",1,"водитель бензовоза","group1"
"group1-07-04-25_11:44","были на спортивном матче в последние полгода",2,"электромонтер","group1"
"group1-07-04-25_11:44","были на спортивном матче в последние полгода",3,"юрист","group1"
"group1-07-04-25_11:44","регулярно посещают психолога",1,"психотерапевт","group1"
"group1-07-04-25_11:44","регулярно посещают психолога",2,"школьный учитель","group1"
"group1-07-04-25_11:44","регулярно посещают психолога",3,"воспитатель","group1"
"group1-07-04-25_11:44","имеют абонемент в фитнес-клуб",1,"товаровед","group1"
"group1-07-04-25_11:44","имеют абонемент в фитнес-клуб",2,"менеджер по продажам","group1"
"group1-07-04-25_11:44","имеют абонемент в фитнес-клуб",3,"мастер маникюра","group1"
"group1-07-04-25_11:44","регулярно выезжают на шашлыки",1,"разработчик программного обеспечения","group1"
"group1-07-04-25_11:44","регулярно выезжают на шашлыки",2,"агент по недвижимости","group1"
"group1-07-04-25_11:44","регулярно выезжают на шашлыки",3,"дизайнер интерьеров","group1"
"group1-07-04-25_11:44","носят натуральную дубленку или шубу из натурального меха",1,"университетский профессор","group1"
"group1-07-04-25_11:44","носят натуральную дубленку или шубу из натурального меха",2,"научный сотрудник","group1"
"group1-07-04-25_11:44","носят натуральную дубленку или шубу из натурального меха",3,"руководитель отдела маркетинга и рекламы","group1"
"group1-07-04-25_11:44","читают донцову",1,"прораб","group1"
"group1-07-04-25_11:44","читают донцову",2,"бухгалтер","group1"
"group1-07-04-25_11:44","читают донцову",3,"отделочник-универсал","group1"
"group1-07-04-25_11:44","прыгали с парашютом",1,"лейтенант вмф","group1"
"group1-07-04-25_11:44","прыгали с парашютом",2,"прораб","group1"
"group1-07-04-25_11:44","прыгали с парашютом",3,"охранник","group1"
