"Source","Target"
"changing societies & personalities","al-humaidan h. e. abdullah abdul-ali"
"changing societies & personalities","borbunov alexey"
"changing societies & personalities","boštjančič eva"
"changing societies & personalities","burlacu radu"
"changing societies & personalities","fabrykant marharyta"
"changing societies & personalities","gelderen martin van"
"changing societies & personalities","golovashina oksana"
"changing societies & personalities","horton john"
"changing societies & personalities","hvithamar annika"
"changing societies & personalities","inglehart ronald f."
"changing societies & personalities","ismagilova fayruza"
"changing societies & personalities","jensen tim"
"changing societies & personalities","khomyakov maxim"
"changing societies & personalities","menshikov andrey"
"changing societies & personalities","popova natalia"
"changing societies & personalities","simons gregory j."
"changing societies & personalities","stepanova elena a."
"changing societies & personalities","strenski ivan"
"changing societies & personalities","stöckl kristina"
"changing societies & personalities","tayob abdulkader"
"changing societies & personalities","tolstaya katya"
"changing societies & personalities","trubina elena g."
"changing societies & personalities","вагнер питер"
"changing societies & personalities","диас николас х."
"changing societies & personalities","скворцов николай генрихович"
"laboratorium: журнал социальных исследований","бикбов александр"
"laboratorium: журнал социальных исследований","богданов максим"
"laboratorium: журнал социальных исследований","богданова елена"
"laboratorium: журнал социальных исследований","бредникова ольга"
"laboratorium: журнал социальных исследований","брубейкер роджерс"
"laboratorium: журнал социальных исследований","буравой майкл"
"laboratorium: журнал социальных исследований","воронина татьяна"
"laboratorium: журнал социальных исследований","воронков виктор"
"laboratorium: журнал социальных исследований","габович михаил"
"laboratorium: журнал социальных исследований","давидов вероника"
"laboratorium: журнал социальных исследований","деминцева екатерина"
"laboratorium: журнал социальных исследований","запорожец оксана"
"laboratorium: журнал социальных исследований","здравомыслова елена андреевна"
"laboratorium: журнал социальных исследований","иванов константин"
"laboratorium: журнал социальных исследований","карпенко оксана"
"laboratorium: журнал социальных исследований","кирчик олеся"
"laboratorium: журнал социальных исследований","ломакин илья валерьевич"
"laboratorium: журнал социальных исследований","малахов владимир"
"laboratorium: журнал социальных исследований","миргород татьяна"
"laboratorium: журнал социальных исследований","никифорова елена"
"laboratorium: журнал социальных исследований","николаева светлана"
