"Id","type","name"
"changing societies & personalities","journal","changing societies & personalities"
"laboratorium: журнал социальных исследований","journal","laboratorium: журнал социальных исследований"
"logos et praxis","journal","logos et praxis"
"primo aspectu","journal","primo aspectu"
"siberian socium","journal","siberian socium"
"social evolution and history","journal","social evolution and history"
"society and security insights","journal","society and security insights"
"векторы благополучия: экономика и социум","journal","векторы благополучия: экономика и социум"
"вестник института социологии","journal","вестник института социологии"
"вестник московского государственного лингвистического университета. общественные науки","journal","вестник московского государственного лингвистического университета. общественные науки"
"вестник московского университета. серия 18. социология и политология","journal","вестник московского университета. серия 18. социология и политология"
"вестник пермского национального исследовательского политехнического университета. социально-экономические науки","journal","вестник пермского национального исследовательского политехнического университета. социально-экономические науки"
"вестник пермского университета. философия. психология. социология","journal","вестник пермского университета. философия. психология. социология"
"вестник рггу. серия: философия. социология. искусствоведение","journal","вестник рггу. серия: философия. социология. искусствоведение"
"вестник российского университета дружбы народов. серия: социология","journal","вестник российского университета дружбы народов. серия: социология"
"вестник санкт-петербургского университета. социология","journal","вестник санкт-петербургского университета. социология"
"вестник томского государственного университета. философия. социология. политология","journal","вестник томского государственного университета. философия. социология. политология"
"вестник тюменского государственного университета. социально-экономические и правовые исследования","journal","вестник тюменского государственного университета. социально-экономические и правовые исследования"
"вестник удмуртского университета. социология. политология. международные отношения","journal","вестник удмуртского университета. социология. политология. международные отношения"
"вестник южно-российского государственного технического университета (нпи). серия: социально-экономические науки","journal","вестник южно-российского государственного технического университета (нпи). серия: социально-экономические науки"
"власть и элиты","journal","власть и элиты"
"демографическое обозрение","journal","демографическое обозрение"
"дискурс","journal","дискурс"
"женщина в российском обществе","journal","женщина в российском обществе"
"журнал исследований социальной политики","journal","журнал исследований социальной политики"
"журнал социологии и социальной антропологии","journal","журнал социологии и социальной антропологии"
"известия высших учебных заведений. поволжский регион. общественные науки","journal","известия высших учебных заведений. поволжский регион. общественные науки"
"известия высших учебных заведений. социология. экономика. политика","journal","известия высших учебных заведений. социология. экономика. политика"
"известия саратовского университета. новая серия. серия: социология. политология","journal","известия саратовского университета. новая серия. серия: социология. политология"
"известия тульского государственного университета. гуманитарные науки","journal","известия тульского государственного университета. гуманитарные науки"
"интеракция. интервью. интерпретация","journal","интеракция. интервью. интерпретация"
"коммуникология","journal","коммуникология"
"конфликтология","journal","конфликтология"
"крестьяноведение","journal","крестьяноведение"
"мир россии. социология. этнология","journal","мир россии. социология. этнология"
"мониторинг общественного мнения: экономические и социальные перемены","journal","мониторинг общественного мнения: экономические и социальные перемены"
"наука. культура. общество","journal","наука. культура. общество"
"научное обозрение. серия 2: гуманитарные науки","journal","научное обозрение. серия 2: гуманитарные науки"
"научный результат. социология и управление","journal","научный результат. социология и управление"
"общество: социология, психология, педагогика","journal","общество: социология, психология, педагогика"
"ойкумена. регионоведческие исследования","journal","ойкумена. регионоведческие исследования"
"поиск: политика. обществоведение. искусство. социология. культура","journal","поиск: политика. обществоведение. искусство. социология. культура"
"свободная мысль","journal","свободная мысль"
"сибирский философский журнал","journal","сибирский философский журнал"
"социальное пространство","journal","социальное пространство"
"социальные и гуманитарные знания","journal","социальные и гуманитарные знания"
"социальные и гуманитарные науки. отечественная и зарубежная литература. серия 11: социология","journal","социальные и гуманитарные науки. отечественная и зарубежная литература. серия 11: социология"
"социальные и гуманитарные науки: теория и практика","journal","социальные и гуманитарные науки: теория и практика"
"социодинамика","journal","социодинамика"
"социологическая наука и социальная практика","journal","социологическая наука и социальная практика"
"социологические исследования","journal","социологические исследования"
"социологический журнал","journal","социологический журнал"
"социологическое обозрение","journal","социологическое обозрение"
"социология","journal","социология"
"социология власти","journal","социология власти"
"социология города","journal","социология города"
"социология медицины","journal","социология медицины"
"среднерусский вестник общественных наук","journal","среднерусский вестник общественных наук"
"теория и практика общественного развития","journal","теория и практика общественного развития"
"управление устойчивым развитием","journal","управление устойчивым развитием"
"урбанистика","journal","урбанистика"
"уровень жизни населения регионов россии","journal","уровень жизни населения регионов россии"
"ученые записки крымского федерального университета имени в.и. вернадского. социология. педагогика. психология","journal","ученые записки крымского федерального университета имени в.и. вернадского. социология. педагогика. психология"
"экономика. социология. право","journal","экономика. социология. право"
"экономическая социология","journal","экономическая социология"
"экономические и социальные перемены: факты, тенденции, прогноз","journal","экономические и социальные перемены: факты, тенденции, прогноз"
"abgadzhava daur","person","abgadzhava daur"
"al-humaidan h. e. abdullah abdul-ali","person","al-humaidan h. e. abdullah abdul-ali"
"alan barnard","person","alan barnard"
"alexei vassiliev","person","alexei vassiliev"
"andrey korotayev","person","andrey korotayev"
"balitskaya nonna","person","balitskaya nonna"
"bertrand josep","person","bertrand josep"
"borbunov alexey","person","borbunov alexey"
"boštjančič eva","person","boštjančič eva"
"burlacu radu","person","burlacu radu"
"carol ember","person","carol ember"
"cecilia pennacini","person","cecilia pennacini"
"charles spencer","person","charles spencer"
"christopher bertram","person","christopher bertram"
"christopher chase-dunn","person","christopher chase-dunn"
"craig campbell","person","craig campbell"
"david small","person","david small"
"dmitri bondarenko","person","dmitri bondarenko"
"dudnik sergey","person","dudnik sergey"
"fabrykant marharyta","person","fabrykant marharyta"
"fred spier","person","fred spier"
"galstyan khachik","person","galstyan khachik"
"gelderen martin van","person","gelderen martin van"
"golovashina oksana","person","golovashina oksana"
"graeme d. snooks","person","graeme d. snooks"
"henri claessen","person","henri claessen"
"herbert barry iii","person","herbert barry iii"
"horton john","person","horton john"
"hvithamar annika","person","hvithamar annika"
"igor sledzevski","person","igor sledzevski"
"inglehart ronald f.","person","inglehart ronald f."
"ismagilova fayruza","person","ismagilova fayruza"
"jensen tim","person","jensen tim"
"jianping yi","person","jianping yi"
"khomyakov maxim","person","khomyakov maxim"
"korotaev dmitry","person","korotaev dmitry"
"kristina štrkalj despot","person","kristina štrkalj despot"
"leonid borodkin","person","leonid borodkin"
"leonid grinin","person","leonid grinin"
"leontyeva elvira","person","leontyeva elvira"
"luigi capogrossi colognesi","person","luigi capogrossi colognesi"
"mansoor maitah","person","mansoor maitah"
"marina butovskaya","person","marina butovskaya"
"mazhenina ekaterina","person","mazhenina ekaterina"
"menshikov andrey","person","menshikov andrey"
"michael mann","person","michael mann"
"musaev abdurashid","person","musaev abdurashid"
"nesteruk aleksey","person","nesteruk aleksey"
"nutton vivian","person","nutton vivian"
"peter skalník","person","peter skalník"
"popova natalia","person","popova natalia"
"prodanov vasil","person","prodanov vasil"
"prokudin dmitry","person","prokudin dmitry"
"randall collins","person","randall collins"
"randall e. auxier","person","randall e. auxier"
"rukinov vladimir","person","rukinov vladimir"
"shiraev eric","person","shiraev eric"
"simons gregory j.","person","simons gregory j."
"steger florian","person","steger florian"
"stepanova elena a.","person","stepanova elena a."
"stephen a. kowalewski","person","stephen a. kowalewski"
"strebkov alexander","person","strebkov alexander"
"strenski ivan","person","strenski ivan"
"stöckl kristina","person","stöckl kristina"
"tayob abdulkader","person","tayob abdulkader"
"timothy earle","person","timothy earle"
"tolstaya katya","person","tolstaya katya"
"trubina elena g.","person","trubina elena g."
"vozmitel andrey","person","vozmitel andrey"
"william r. thompson","person","william r. thompson"
"yuri berezkin","person","yuri berezkin"
